Medal,Name,Sex,NOC,Event,Sport,City,Team,Games,Year,Weight,Height,Age,Season,ID
Bronze,FIEDINA Marta,W,UKR,Team,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,122,166,33,Summer,0
Bronze,YAKHNO Yelyzaveta,W,UKR,Team,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,98,198,31,Summer,0
Bronze,ALEKSIIVA Vladyslava,W,UKR,Team,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,109,167,28,Summer,0
Bronze,ALEKSIIVA Maryna,W,UKR,Team,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,92,152,20,Summer,0
Bronze,REZNIK Kateryna,W,UKR,Team,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,72,140,30,Summer,0
Bronze,SHYNKARENKO Alina,W,UKR,Team,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,54,192,30,Summer,0
Bronze,SYDORENKO Kseniya,W,UKR,Team,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,147,152,27,Summer,0
Bronze,SAVCHUK Anastasiya,W,UKR,Team,Artistic Swimming,Tokyo,Ukraine,2020 Tokyo,2020,84,153,22,Summer,0
Gold,INGEBRIGTSEN Jakob,M,NOR,Men's 1500m,Athletics,Tokyo,Norway,2020 Tokyo,2020,150,175,26,Summer,0
Silver,CHERUIYOT Timothy,M,KEN,Men's 1500m,Athletics,Tokyo,Kenya,2020 Tokyo,2020,120,183,34,Summer,0
Bronze,KERR Josh,M,GBR,Men's 1500m,Athletics,Tokyo,UK,2020 Tokyo,2020,142,170,29,Summer,0
Gold,ROSS Randolph,M,USA,Men's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,53,200,25,Summer,0
Gold,BENJAMIN Rai,M,USA,Men's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,65,148,18,Summer,0
Gold,STEWART Trevor,M,USA,Men's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,113,193,18,Summer,0
Gold,NORWOOD Vernon,M,USA,Men's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,69,142,28,Summer,0
Gold,DEADMON Bryce,M,USA,Men's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,87,194,33,Summer,0
Gold,CHERRY Michael,M,USA,Men's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,76,175,29,Summer,0
Gold,NORMAN Michael,M,USA,Men's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,132,187,34,Summer,0
Silver,van DIEPEN Tony,M,NED,Men's 4 x 400m Relay,Athletics,Tokyo,Netherlands,2020 Tokyo,2020,133,151,25,Summer,0
Silver,AGARD Terrence,M,NED,Men's 4 x 400m Relay,Athletics,Tokyo,Netherlands,2020 Tokyo,2020,68,202,22,Summer,0
Silver,ANGELA Ramsey,M,NED,Men's 4 x 400m Relay,Athletics,Tokyo,Netherlands,2020 Tokyo,2020,59,156,23,Summer,0
Silver,BONEVACIA Liemarvin,M,NED,Men's 4 x 400m Relay,Athletics,Tokyo,Netherlands,2020 Tokyo,2020,60,198,19,Summer,0
Silver,DOBBER Jochem,M,NED,Men's 4 x 400m Relay,Athletics,Tokyo,Netherlands,2020 Tokyo,2020,68,175,33,Summer,0
Bronze,MAKWALA Isaac,M,BOT,Men's 4 x 400m Relay,Athletics,Tokyo,Botswana,2020 Tokyo,2020,96,175,28,Summer,0
Bronze,NGOZI Zibane,M,BOT,Men's 4 x 400m Relay,Athletics,Tokyo,Botswana,2020 Tokyo,2020,61,170,33,Summer,0
Bronze,THEBE Baboloki,M,BOT,Men's 4 x 400m Relay,Athletics,Tokyo,Botswana,2020 Tokyo,2020,78,143,32,Summer,0
Bronze,NDORI Bayapo,M,BOT,Men's 4 x 400m Relay,Athletics,Tokyo,Botswana,2020 Tokyo,2020,64,189,24,Summer,0
Gold,CHOPRA Neeraj,M,IND,Men's Javelin Throw,Athletics,Tokyo,India,2020 Tokyo,2020,91,171,26,Summer,0
Silver,VADLEJCH Jakub,M,CZE,Men's Javelin Throw,Athletics,Tokyo,Czech Republic,2020 Tokyo,2020,144,174,25,Summer,0
Bronze,VESELY Vitezslav,M,CZE,Men's Javelin Throw,Athletics,Tokyo,Czech Republic,2020 Tokyo,2020,60,156,19,Summer,0
Gold,HASSAN Sifan,W,NED,"Women's 10,000m",Athletics,Tokyo,Netherlands,2020 Tokyo,2020,145,146,26,Summer,0
Silver,GEZAHEGNE Kalkidan,W,BRN,"Women's 10,000m",Athletics,Tokyo,Bahrain,2020 Tokyo,2020,117,170,31,Summer,0
Bronze,GIDEY Letesenbet,W,ETH,"Women's 10,000m",Athletics,Tokyo,Ethiopia,2020 Tokyo,2020,123,143,26,Summer,0
Gold,WHITNEY Kaylin,W,USA,Women's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,88,157,27,Summer,0
Gold,ELLIS Kendall,W,USA,Women's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,63,180,32,Summer,0
Gold,MUHAMMAD Dalilah,W,USA,Women's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,69,182,20,Summer,0
Gold,McLAUGHLIN Sydney,W,USA,Women's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,90,141,23,Summer,0
Gold,IRBY Lynna,W,USA,Women's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,63,153,23,Summer,0
Gold,JONATHAS Wadeline,W,USA,Women's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,141,194,24,Summer,0
Gold,MU Athing,W,USA,Women's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,71,190,22,Summer,0
Gold,FELIX Allyson,W,USA,Women's 4 x 400m Relay,Athletics,Tokyo,USA,2020 Tokyo,2020,141,192,25,Summer,0
Silver,HOLUB-KOWALIK Malgorzata,W,POL,Women's 4 x 400m Relay,Athletics,Tokyo,Poland,2020 Tokyo,2020,143,171,29,Summer,0
Silver,KIELBASINSKA Anna,W,POL,Women's 4 x 400m Relay,Athletics,Tokyo,Poland,2020 Tokyo,2020,150,170,24,Summer,0
Silver,SWIETY-ERSETIC Justyna,W,POL,Women's 4 x 400m Relay,Athletics,Tokyo,Poland,2020 Tokyo,2020,126,202,19,Summer,0
Silver,BAUMGART-WITAN Iga,W,POL,Women's 4 x 400m Relay,Athletics,Tokyo,Poland,2020 Tokyo,2020,101,142,32,Summer,0
Silver,KACZMAREK Natalia,W,POL,Women's 4 x 400m Relay,Athletics,Tokyo,Poland,2020 Tokyo,2020,144,207,24,Summer,0
Bronze,BROMFIELD Junelle,W,JAM,Women's 4 x 400m Relay,Athletics,Tokyo,Jamaica,2020 Tokyo,2020,97,154,21,Summer,0
Bronze,JACKSON Shericka,W,JAM,Women's 4 x 400m Relay,Athletics,Tokyo,Jamaica,2020 Tokyo,2020,133,188,24,Summer,0
Bronze,RUSSELL Janieve,W,JAM,Women's 4 x 400m Relay,Athletics,Tokyo,Jamaica,2020 Tokyo,2020,78,145,23,Summer,0
Bronze,WILLIAMS Stacey Ann,W,JAM,Women's 4 x 400m Relay,Athletics,Tokyo,Jamaica,2020 Tokyo,2020,78,179,31,Summer,0
Bronze,McGREGOR Roneisha,W,JAM,Women's 4 x 400m Relay,Athletics,Tokyo,Jamaica,2020 Tokyo,2020,137,183,29,Summer,0
Bronze,McLEOD Candice,W,JAM,Women's 4 x 400m Relay,Athletics,Tokyo,Jamaica,2020 Tokyo,2020,74,144,19,Summer,0
Gold,LASITSKENE Mariya,W,ROC,Women's High Jump,Athletics,Tokyo,,2020 Tokyo,2020,61,170,33,Summer,0
Silver,McDERMOTT Nicola,W,AUS,Women's High Jump,Athletics,Tokyo,Australia,2020 Tokyo,2020,100,184,26,Summer,0
Bronze,MAHUCHIKH Yaroslava,W,UKR,Women's High Jump,Athletics,Tokyo,Ukraine,2020 Tokyo,2020,118,170,19,Summer,0
Gold,JEPCHIRCHIR Peres,W,KEN,Women's Marathon,Athletics,Tokyo,Kenya,2020 Tokyo,2020,76,145,30,Summer,0
Silver,KOSGEI Brigid,W,KEN,Women's Marathon,Athletics,Tokyo,Kenya,2020 Tokyo,2020,57,170,24,Summer,0
Bronze,SEIDEL Molly,W,USA,Women's Marathon,Athletics,Tokyo,USA,2020 Tokyo,2020,102,159,28,Summer,0
Gold,SAKAMOTO Hayato,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,52,140,22,Summer,0
Gold,YAMASAKI Yasuaki,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,92,154,33,Summer,0
Gold,IWAZAKI Suguru,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,50,209,34,Summer,0
Gold,UMENO Ryutaro,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,51,203,23,Summer,0
Gold,MORISHITA Masato,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,133,158,18,Summer,0
Gold,KIKUCHI Ryosuke,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,74,144,27,Summer,0
Gold,SUZUKI Seiya,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,130,158,34,Summer,0
Gold,OHNO Yudai,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,66,164,21,Summer,0
Gold,YAMADA Tetsuto,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,113,155,24,Summer,0
Gold,MURAKAMI Munetaka,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,113,151,23,Summer,0
Gold,GENDA Sosuke,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,55,151,34,Summer,0
Gold,TAIRA Kaima,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,128,199,28,Summer,0
Gold,SENGA Koudai,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,137,157,20,Summer,0
Gold,KAI Takuya,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,69,151,27,Summer,0
Gold,YANAGITA Yuki,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,142,150,26,Summer,0
Gold,KONDOH Kensuke,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,114,160,20,Summer,0
Gold,ASAMURA Hideto,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,94,176,27,Summer,0
Gold,YAMAMOTO Yoshinobu,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,93,188,32,Summer,0
Gold,YOSHIDA Masataka,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,91,185,27,Summer,0
Gold,AOYAGI Koyo,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,50,166,32,Summer,0
Gold,KURIBAYASHI Ryoji,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,141,159,20,Summer,0
Gold,KURIHARA Ryoya,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,67,179,34,Summer,0
Gold,ITOH Hiromi,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,87,182,26,Summer,0
Gold,TANAKA Masahiro,M,JPN,Baseball,Baseball/Softball,Tokyo,Japan,2020 Tokyo,2020,125,199,33,Summer,0
Silver,CARTER Anthony,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,83,203,26,Summer,0
Silver,DICKSON Brandon,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,116,142,22,Summer,0
Silver,ROBERTSON David,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,147,141,32,Summer,0
Silver,ALVAREZ Eddy,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,92,189,27,Summer,0
Silver,JACKSON JR Edwin,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,106,148,21,Summer,0
Silver,MARTINEZ Nick,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,55,142,23,Summer,0
Silver,FRAZIER Todd,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,134,196,33,Summer,0
Silver,CASAS Triston,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,137,190,29,Summer,0
Silver,FILIA Eric,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,112,190,34,Summer,0
Silver,FEDEROWICZ Tim,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,106,167,26,Summer,0
Silver,ALLEN Nick,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,51,205,34,Summer,0
Silver,WESTBROOK Jamie,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,141,152,23,Summer,0
Silver,KOLOZSVARY Mark,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,130,184,20,Summer,0
Silver,AUSTIN Tyler,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,61,198,27,Summer,0
Silver,WOODS RICHARDSON Simeon,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,122,206,31,Summer,0
Silver,RYAN Joe,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,113,168,31,Summer,0
Silver,BAZ Shane,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,90,175,28,Summer,0
Silver,STARLING Bubba,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,108,170,30,Summer,0
Silver,LOPEZ Jack,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,150,176,33,Summer,0
Silver,GOSE Anthony,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,51,193,31,Summer,0
Silver,KAZMIR Scott,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,77,164,29,Summer,0
Silver,McGOUGH Scott,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,109,183,30,Summer,0
Silver,KIVLEHAN Patrick,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,91,164,21,Summer,0
Silver,RYAN Ryder,M,USA,Baseball,Baseball/Softball,Tokyo,USA,2020 Tokyo,2020,56,174,19,Summer,0
Bronze,GARCIA Junior,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,130,183,34,Summer,0
Bronze,CASTILLO Luis,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,144,188,26,Summer,0
Bronze,MIESES Johan,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,128,154,27,Summer,0
Bronze,RODRIGUEZ Julio,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,112,188,23,Summer,0
Bronze,ROSSO Ramon,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,95,163,23,Summer,0
Bronze,VALDES Raul,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,114,144,33,Summer,0
Bronze,BALDWIN Roldani,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,133,153,22,Summer,0
Bronze,SANCHEZ Angel,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,88,162,30,Summer,0
Bronze,MERCEDES Cristopher,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,132,164,24,Summer,0
Bronze,ALVAREZ Dario,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,65,177,26,Summer,0
Bronze,ARIAS Gabriel,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,114,199,20,Summer,0
Bronze,ASENCIO Jairo,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,129,147,20,Summer,0
Bronze,CABRERA Melky,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,76,140,28,Summer,0
Bronze,PEREZ Yefri,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,104,154,32,Summer,0
Bronze,MARINEZ Jhan,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,65,208,33,Summer,0
Bronze,NUNEZ Gustavo,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,86,176,20,Summer,0
Bronze,VALERIO Charlie,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,74,146,21,Summer,0
Bronze,GUZMAN Jeison,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,52,173,24,Summer,0
Bronze,MEJIA Erick,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,114,180,26,Summer,0
Bronze,REYES Denyi,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,94,145,26,Summer,0
Bronze,BAUTISTA Jose,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,123,207,21,Summer,0
Bronze,BONIFACIO Emilio,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,51,148,34,Summer,0
Bronze,DIAZ Jose,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,130,198,28,Summer,0
Bronze,FRANCISCO Juan,M,DOM,Baseball,Baseball/Softball,Tokyo,Dominican Republic,2020 Tokyo,2020,95,166,25,Summer,0
Gold,MCGEE Javale,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,110,154,27,Summer,0
Gold,MIDDLETON Khris,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,80,143,22,Summer,0
Gold,TATUM Jayson,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,135,158,23,Summer,0
Gold,DURANT Kevin,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,78,155,20,Summer,0
Gold,BOOKER Devin,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,132,209,22,Summer,0
Gold,GREEN Draymond,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,56,199,31,Summer,0
Gold,LILLARD Damian,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,70,166,28,Summer,0
Gold,GRANT Jerami,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,100,207,34,Summer,0
Gold,LAVINE Zach,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,61,205,26,Summer,0
Gold,HOLIDAY Jrue,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,81,202,28,Summer,0
Gold,JOHNSON Keldon,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,96,196,25,Summer,0
Gold,ADEBAYO Bam,M,USA,Men,Basketball,Tokyo,USA,2020 Tokyo,2020,55,199,19,Summer,0
Silver,CORNELIE Petr,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,101,155,20,Summer,0
Silver,ALBICY Andrew,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,86,180,19,Summer,0
Silver,HEURTEL Thomas,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,140,176,24,Summer,0
Silver,NTILIKINA Frank,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,74,169,27,Summer,0
Silver,de COLO Nando,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,125,161,30,Summer,0
Silver,FOURNIER Evan,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,63,161,34,Summer,0
Silver,BATUM Nicolas,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,104,187,34,Summer,0
Silver,LUWAWU CABARROT Timothe,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,89,161,19,Summer,0
Silver,YABUSELE Guerschon,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,78,149,29,Summer,0
Silver,FALL Moustapha,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,51,195,26,Summer,0
Silver,GOBERT Rudy,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,123,186,24,Summer,0
Silver,POIRIER Vincent,M,FRA,Men,Basketball,Tokyo,France,2020 Tokyo,2020,84,171,22,Summer,0
Bronze,GREEN Josh,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,118,207,20,Summer,0
Bronze,BAYNES Aron,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,60,172,29,Summer,0
Bronze,DELLAVEDOVA Matthew,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,149,204,26,Summer,0
Bronze,EXUM Dante,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,138,178,31,Summer,0
Bronze,GOULDING Chris,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,132,165,28,Summer,0
Bronze,INGLES Joe,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,54,174,27,Summer,0
Bronze,KAY Nic,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,79,140,25,Summer,0
Bronze,LANDALE Jock,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,133,171,34,Summer,0
Bronze,MILLS Patty,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,116,155,31,Summer,0
Bronze,THYBULLE Matisse,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,84,201,22,Summer,0
Bronze,REATH Duop Thomas,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,77,165,19,Summer,0
Bronze,SOBEY Nathan,M,AUS,Men,Basketball,Tokyo,Australia,2020 Tokyo,2020,146,177,33,Summer,0
Gold,MOL Anders Berntsen,M,NOR,Men,Beach Volleyball,Tokyo,Norway,2020 Tokyo,2020,82,206,33,Summer,0
Gold,SORUM Christian Sandlie,M,NOR,Men,Beach Volleyball,Tokyo,Norway,2020 Tokyo,2020,146,170,23,Summer,0
Silver,KRASILNIKOV Viacheslav,M,ROC,Men,Beach Volleyball,Tokyo,,2020 Tokyo,2020,111,140,19,Summer,0
Silver,STOYANOVSKIY Oleg,M,ROC,Men,Beach Volleyball,Tokyo,,2020 Tokyo,2020,58,177,29,Summer,0
Bronze,YOUNOUSSE Cherif,M,QAT,Men,Beach Volleyball,Tokyo,Qatar,2020 Tokyo,2020,83,180,32,Summer,0
Bronze,TIJAN Ahmed,M,QAT,Men,Beach Volleyball,Tokyo,Qatar,2020 Tokyo,2020,71,151,18,Summer,0
Gold,YAFAI Galal,M,GBR,Men's Fly (48-52kg),Boxing,Tokyo,UK,2020 Tokyo,2020,60,207,23,Summer,0
Silver,PAALAM Carlo,M,PHI,Men's Fly (48-52kg),Boxing,Tokyo,Philippines,2020 Tokyo,2020,142,141,31,Summer,0
Gold,SOUSA Hebert,M,BRA,Men's Middle (69-75kg),Boxing,Tokyo,Brazil,2020 Tokyo,2020,140,179,21,Summer,0
Silver,KHYZHNIAK Oleksandr,M,UKR,Men's Middle (69-75kg),Boxing,Tokyo,Ukraine,2020 Tokyo,2020,103,196,22,Summer,0
Gold,KRASTEVA Stoyka Zhelyazkova,W,BUL,Women's Fly (48-51kg),Boxing,Tokyo,Bulgaria,2020 Tokyo,2020,128,153,21,Summer,0
Silver,CAKIROGLU Buse Naz,W,TUR,Women's Fly (48-51kg),Boxing,Tokyo,Turkey,2020 Tokyo,2020,89,201,31,Summer,0
Gold,SURMENELI Busenaz,W,TUR,Women's Welter (64-69kg),Boxing,Tokyo,Turkey,2020 Tokyo,2020,69,170,21,Summer,0
Silver,GU Hong,W,CHN,Women's Welter (64-69kg),Boxing,Tokyo,China,2020 Tokyo,2020,61,162,21,Summer,0
Gold,QUEIROZ dos SANTOS Isaquias,M,BRA,Men's Canoe Single 1000m,Canoeing,Tokyo,Brazil,2020 Tokyo,2020,84,148,26,Summer,0
Silver,LIU Hao,M,CHN,Men's Canoe Single 1000m,Canoeing,Tokyo,China,2020 Tokyo,2020,73,197,32,Summer,0
Bronze,TARNOVSCHI Serghei,M,MDA,Men's Canoe Single 1000m,Canoeing,Tokyo,Moldova,2020 Tokyo,2020,71,206,32,Summer,0
Gold,LEMKE Max,M,GER,Men's Kayak Four 500m,Canoeing,Tokyo,Germany,2020 Tokyo,2020,122,143,34,Summer,0
Gold,LIEBSCHER Tom,M,GER,Men's Kayak Four 500m,Canoeing,Tokyo,Germany,2020 Tokyo,2020,50,159,32,Summer,0
Gold,RAUHE Ronald,M,GER,Men's Kayak Four 500m,Canoeing,Tokyo,Germany,2020 Tokyo,2020,113,159,34,Summer,0
Gold,RENDSCHMIDT Max,M,GER,Men's Kayak Four 500m,Canoeing,Tokyo,Germany,2020 Tokyo,2020,103,178,18,Summer,0
Silver,AREVALO Carlos,M,ESP,Men's Kayak Four 500m,Canoeing,Tokyo,Spain,2020 Tokyo,2020,143,167,21,Summer,0
Silver,CRAVIOTTO Saul,M,ESP,Men's Kayak Four 500m,Canoeing,Tokyo,Spain,2020 Tokyo,2020,81,152,20,Summer,0
Silver,GERMADE Rodrigo,M,ESP,Men's Kayak Four 500m,Canoeing,Tokyo,Spain,2020 Tokyo,2020,75,205,29,Summer,0
Silver,WALZ Marcus,M,ESP,Men's Kayak Four 500m,Canoeing,Tokyo,Spain,2020 Tokyo,2020,98,160,27,Summer,0
Bronze,BALAZ Samuel,M,SVK,Men's Kayak Four 500m,Canoeing,Tokyo,Slovakia,2020 Tokyo,2020,127,188,24,Summer,0
Bronze,BOTEK Adam,M,SVK,Men's Kayak Four 500m,Canoeing,Tokyo,Slovakia,2020 Tokyo,2020,68,163,23,Summer,0
Bronze,MYSAK Denis,M,SVK,Men's Kayak Four 500m,Canoeing,Tokyo,Slovakia,2020 Tokyo,2020,143,203,30,Summer,0
Bronze,VLCEK Erik,M,SVK,Men's Kayak Four 500m,Canoeing,Tokyo,Slovakia,2020 Tokyo,2020,88,173,20,Summer,0
Gold,SUN Mengya,W,CHN,Women's Canoe Double 500m,Canoeing,Tokyo,China,2020 Tokyo,2020,117,190,31,Summer,0
Gold,XU Shixiao,W,CHN,Women's Canoe Double 500m,Canoeing,Tokyo,China,2020 Tokyo,2020,117,154,28,Summer,0
Silver,LUZAN Liudmyla,W,UKR,Women's Canoe Double 500m,Canoeing,Tokyo,Ukraine,2020 Tokyo,2020,108,170,29,Summer,0
Silver,CHETVERIKOVA Anastasiia,W,UKR,Women's Canoe Double 500m,Canoeing,Tokyo,Ukraine,2020 Tokyo,2020,104,190,33,Summer,0
